Country	Region	Population	Area (sq. mi.)	Pop. Density (per sq. mi.)	Coastline (coast/area ratio)	Net migration	Infant mortality (per 1000 births)	GDP ($ per capita)	Literacy (%)	Phones (per 1000)	Arable (%)	Crops (%)	Other (%)	Climate	Birthrate	Deathrate	Agriculture	Industry	Service
Uruguay 	LATIN AMER. & CARIB    	3431932	176220	195	37	-32	1195	12800	980	2914	743	23	9234	3	1391	905	93	311	596
Uzbekistan 	C.W. OF IND. STATES 	27307134	447400	610	0	-172	711	1700	993	629	1083	83	8834	1	2636	784	342	229	43
Vanuatu 	OCEANIA                            	208869	12200	171	2072	0	5516	2900	530	326	246	738	9016	2	2272	782	26	12	62
Venezuela 	LATIN AMER. & CARIB    	25730435	912050	282	31	-4	222	4800	934	1401	295	92	9613	2	1871	492	4	419	541
Vietnam 	ASIA (EX. NEAR EAST)         	84402966	329560	2561	105	-45	2595	2500	903	1877	1997	595	7408	2	1686	622	209	41	381
Virgin Islands 	LATIN AMER. & CARIB    	108605	1910	569	984	-894	803	17200		6528	1176	294	853	2	1396	643	1	19	8
Wallis and Futuna 	OCEANIA                            	16025	274	585	4708			3700	500	1186	5	25	70	2					
West Bank 	NEAR EAST                          	2460492	5860	4199	0	298	1962	800		1452	169	1897	6413	3	3167	392	9	28	63
Western Sahara 	NORTHERN AFRICA                    	273008	266000	10	42						2	0	9998	1					4
Yemen 	NEAR EAST                          	21456188	527970	406	36	0	615	800	502	372	278	24	9698	1	4289	83	135	472	393
Zambia 	SUB-SAHARAN AFRICA                 	11502010	752614	153	0	0	8829	800	806	82	708	3	929	2	41	1993	22	29	489
Zimbabwe 	SUB-SAHARAN AFRICA                 	12236805	390580	313	0	0	6769	1900	907	268	832	34	9134	2	2801	2184	179	243	579
